type,bandwidth,time
run,81.2732,695662169948067
run,80.8592,695662200993043
run,76.2663,695662232180868
run,106.084,695662265252816
run,77.968,695662289054939
run,18.533,695662321429789
run,57.3888,695662457334271
run,103.46,695662501242113
run,122.631,695662525616116
run,151.987,695662546185490
run,162.65,695662562794425
run,163.35,695662578318577
run,163.367,695662593775496
run,163.606,695662609228799
run,134.299,695662624661717
run,150.676,695662643446170
run,164.602,695662660197699
run,138.801,695662675534905
run,148.417,695662693713717
run,163.311,695662710718562
run,161.016,695662726178393
run,144.395,695662741855923
run,134.439,695662759330854
run,162.706,695662778097323
run,156.43,695662793612482
run,162.945,695662809748771
run,164.322,695662825240186
run,164.644,695662840601840
run,164.984,695662855932933
run,136.989,695662871232633
run,142.495,695662889648153
run,162.977,695662907356816
run,161.39,695662922844903
run,148.912,695662938481248
run,134.196,695662955448556
run,143.249,695662974291058
run,144.968,695662991911591
run,139.595,695663009319161
run,162.66,695663027395861
run,51.2473,695663042915884
run,58.6703,695663092102552
run,55.7292,695663135079854
run,54.6947,695663180324675
run,66.9291,695663226435684
run,59.9028,695663264095856
run,94.1955,695663306169177
run,64.8332,695663332962189
run,49.2821,695663371873354
run,35.1583,695663423043666
run,58.2483,695663494713814
run,85.1987,695663537998384
run,99.0043,695663567596747
run,128.561,695663593075630
run,161.805,695663612714815
run,163.377,695663628319992
run,141.039,695663643774511
run,150.619,695663661664999
run,163.597,695663678421200
run,154.296,695663693853223
run,155.676,695663710208010
run,137.967,695663776741767
run,162.924,695663795056102
run,138.372,695663810558877
run,147.981,695663828795099
run,160.509,695663845853608
run,154.937,695663861581987
run,160.65,695663877874149
run,142.958,695663893583136
run,157.653,695663911233589
run,160.396,695663927247668
run,162.687,695663942981743
run,162.763,695663958500806
run,142.222,695663974012286
run,139.688,695663991757141
run,144.178,695664009843024
run,140.851,695664027351012
run,163.219,695664045269309
run,164.64,695664060735636
run,131.797,695664076071529
run,123.916,695664095236307
run,36.639,695664115600303
run,43.0474,695664184378123
run,46.9866,695664242931897
run,76.925,695664296589667
run,93.9166,695664329380363
run,100.497,695664356267553
run,135.159,695664381376638
run,139.347,695664400075202
run,160.177,695664418207294
run,163.356,695664433993977
run,164.268,695664449458864
run,165.567,695664464826342
run,164.976,695664480071834
run,159.87,695664495367727
run,139.58,695664511182475
run,145.676,695664529280646
run,162.971,695664546628631
run,163.813,695664562127823
run,162.405,695664577535845
run,160.739,695664593074109
run,165.31,695664608810872
run,159.947,695664624086988
run,39.6999,695664639859400
run,57.8721,695664703337786
run,69.7113,695664746895928
run,76.7269,695664783061167
run,51.8866,695664815957944
run,92.9464,695664864552028
run,86.7624,695664891704117
run,121.687,695664920773609
